Delay (ps) - A ch X	Lockin Signal - A ch X	Delay (ps) - A ch Y	Lockin Signal - A ch Y	Delay (ps) - B ch X	Lockin Signal - B ch X	Delay (ps) - B ch Y	Lockin Signal - B ch Y	
51.0000	8.53E-3	51.0000	-2.20E-3	51.0000	8.53E-3	51.0000	-2.20E-3	
51.0050	8.54E-3	51.0050	-2.20E-3	51.0050	8.54E-3	51.0050	-2.20E-3	
51.0100	8.54E-3	51.0100	-2.20E-3	51.0100	8.54E-3	51.0100	-2.20E-3	
51.0150	8.53E-3	51.0150	-2.20E-3	51.0150	8.53E-3	51.0150	-2.20E-3	
51.0200	8.53E-3	51.0200	-2.20E-3	51.0200	8.53E-3	51.0200	-2.20E-3	
51.0250	8.53E-3	51.0250	-2.20E-3	51.0250	8.53E-3	51.0250	-2.20E-3	
51.0300	8.53E-3	51.0300	-2.20E-3	51.0300	8.53E-3	51.0300	-2.20E-3	
51.0350	8.54E-3	51.0350	-2.20E-3	51.0350	8.54E-3	51.0350	-2.20E-3	
51.0400	8.54E-3	51.0400	-2.20E-3	51.0400	8.54E-3	51.0400	-2.20E-3	
51.0450	8.53E-3	51.0450	-2.20E-3	51.0450	8.53E-3	51.0450	-2.20E-3	
51.0500	8.54E-3	51.0500	-2.20E-3	51.0500	8.54E-3	51.0500	-2.20E-3	
51.0550	8.54E-3	51.0550	-2.20E-3	51.0550	8.54E-3	51.0550	-2.20E-3	
51.0600	8.54E-3	51.0600	-2.20E-3	51.0600	8.54E-3	51.0600	-2.20E-3	
51.0650	8.53E-3	51.0650	-2.20E-3	51.0650	8.53E-3	51.0650	-2.20E-3	
51.0700	8.53E-3	51.0700	-2.20E-3	51.0700	8.53E-3	51.0700	-2.20E-3	
51.0750	8.54E-3	51.0750	-2.20E-3	51.0750	8.54E-3	51.0750	-2.20E-3	
51.0800	8.54E-3	51.0800	-2.20E-3	51.0800	8.54E-3	51.0800	-2.20E-3	
51.0850	8.54E-3	51.0850	-2.20E-3	51.0850	8.54E-3	51.0850	-2.20E-3	
51.0900	8.54E-3	51.0900	-2.20E-3	51.0900	8.54E-3	51.0900	-2.20E-3	
51.0950	8.54E-3	51.0950	-2.20E-3	51.0950	8.54E-3	51.0950	-2.20E-3	
51.1000	8.54E-3	51.1000	-2.20E-3	51.1000	8.54E-3	51.1000	-2.20E-3	
51.1050	8.55E-3	51.1050	-2.20E-3	51.1050	8.55E-3	51.1050	-2.20E-3	
51.1100	8.54E-3	51.1100	-2.20E-3	51.1100	8.54E-3	51.1100	-2.20E-3	
51.1150	8.55E-3	51.1150	-2.20E-3	51.1150	8.55E-3	51.1150	-2.20E-3	
51.1200	8.55E-3	51.1200	-2.20E-3	51.1200	8.55E-3	51.1200	-2.20E-3	
